report_date,efetivo,recursos,incendios,outras,notes,version,shift
2023-07-12,[],[],"[{""municipio"":""Apui"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Iranduba"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Novo Airao"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-13,[],[],"[{""municipio"":""Boca Do Acre"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Itacoatiara"",""incendio_urbano"":1,""incendio_florestal"":0,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":2,""incendio_florestal"":2,""total_ocorrencias"":4,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-14,[],[],"[{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Iranduba"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Labrea"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manacapuru"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":1,""incendio_florestal"":2,""total_ocorrencias"":3,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Tabatinga"",""incendio_urbano"":1,""incendio_florestal"":0,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-15,[],[],"[{""municipio"":""Apui"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Boca Do Acre"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Iranduba"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manacapuru"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":2,""incendio_florestal"":33,""total_ocorrencias"":35,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Presidente Figueiredo"",""incendio_urbano"":1,""incendio_florestal"":0,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-16,[],[],"[{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":3,""total_ocorrencias"":3,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Iranduba"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Labrea"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":3,""incendio_florestal"":9,""total_ocorrencias"":12,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-17,[],[],"[{""municipio"":""Boca Do Acre"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Iranduba"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Itacoatiara"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Labrea"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manacapuru"",""incendio_urbano"":1,""incendio_florestal"":1,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":1,""incendio_florestal"":11,""total_ocorrencias"":12,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Presidente Figueiredo"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Tabatinga"",""incendio_urbano"":1,""incendio_florestal"":0,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-18,[],[],"[{""municipio"":""Manaus"",""incendio_urbano"":1,""incendio_florestal"":0,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-19,[],[],"[{""municipio"":""Boca Do Acre"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Iranduba"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Labrea"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":2,""incendio_florestal"":18,""total_ocorrencias"":20,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-20,[],[],"[{""municipio"":""Boca Do Acre"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Itacoatiara"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manacapuru"",""incendio_urbano"":1,""incendio_florestal"":0,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":6,""incendio_florestal"":0,""total_ocorrencias"":6,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-21,[],[],"[{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Iranduba"",""incendio_urbano"":1,""incendio_florestal"":1,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Labrea"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manacapuru"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":3,""incendio_florestal"":0,""total_ocorrencias"":3,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
